date,value,RIC
2017-01-30,20.4,TFMBMG7^1
2017-02-27,17.281,TFMBMH7^1
2017-03-30,15.937,TFMBMJ7^1
2017-04-27,16.049,TFMBMK7^1
2017-05-30,15.65,TFMBMM7^1
2017-06-29,14.975,TFMBMN7^1
2017-07-28,14.983,TFMBMQ7^1
2017-08-30,16.519,TFMBMU7^1
2017-09-28,17.608,TFMBMV7^1
2017-10-30,17.612,TFMBMX7^1
2017-11-29,20.339,TFMBMZ7^1
2017-03-30,15.991,TFMBQM7^1
2017-06-29,14.994,TFMBQU7^1
2017-09-28,17.972,TFMBQZ7^1
2017-12-28,19.711,TFMBMF8^1
2018-01-30,17.351,TFMBMG8^1
2018-02-27,19.185,TFMBMH8^1
2018-03-28,18.393,TFMBMJ8^1
2018-04-27,20.248,TFMBMK8^1
2018-05-30,23.087,TFMBMM8^1
2018-06-28,21.96,TFMBMN8^1
2018-07-30,22.059,TFMBMQ8^1
2018-08-30,26.13,TFMBMU8^1
2018-09-27,27.577,TFMBMV8^1
2018-10-30,23.873,TFMBMX8^1
2018-11-29,24.633,TFMBMZ8^1
2017-12-28,19.514,TFMBQH8^1
2018-03-28,18.202,TFMBQM8^1
2018-06-28,21.965,TFMBQU8^1
2018-09-27,27.834,TFMBQZ8^1
2017-12-28,18.395,TFMBYZ8^1
2018-12-28,22.81,TFMBMF9^1
2019-01-30,20.181,TFMBMG9^1
2019-02-27,17.617,TFMBMH9^1
2019-03-28,14.428,TFMBMJ9^1
2019-04-29,14.525,TFMBMK9^1
2019-05-30,11.476,TFMBMM9^1
2019-06-27,9.376,TFMBMN9^1
2019-07-30,9.791,TFMBMQ9^1
2019-08-29,10.716,TFMBMU9^1
2019-09-27,11.939,TFMBMV9^1
2019-10-30,13.779,TFMBMX9^1
2019-11-28,15.649,TFMBMZ9^1
2018-12-28,22.745,TFMBQH9^1
2019-03-28,14.456,TFMBQM9^1
2019-06-27,10.221,TFMBQU9^1
2019-09-27,15.592,TFMBQZ9^1
2018-12-28,21.665,TFMBYZ9^1
2019-12-30,12.293,TFMBMF0^2
2020-01-30,9.781,TFMBMG0^2
2020-02-27,8.871,TFMBMH0^2
2020-03-30,6.897,TFMBMJ0^2
2020-04-29,6.014,TFMBMK0^2
2020-05-28,3.509,TFMBMM0^2
2020-06-29,5.839,TFMBMN0^2
2020-07-30,5.223,TFMBMQ0^2
2020-08-27,8.872,TFMBMU0^2
2020-09-29,12.28,TFMBMV0^2
2020-10-29,14.216,TFMBMX0^2
2020-11-27,14.485,TFMBMZ0^2
2019-12-30,12.463,TFMBQH0^2
2020-03-30,6.975,TFMBQM0^2
2020-06-29,6.183,TFMBQU0^2
2020-09-29,13.326,TFMBQZ0^2
2019-12-30,13.134,TFMBYZ0^2
2020-12-30,19.001,TFMBMF1^2
2021-01-28,20.908,TFMBMG1^2
2021-02-25,15.935,TFMBMH1^2
2021-03-30,18.804,TFMBMJ1^2
2021-04-29,22.501,TFMBMK1^2
2021-05-27,25.199,TFMBMM1^2
2021-06-29,33.486,TFMBMN1^2
2021-07-29,41.154,TFMBMQ1^2
2021-08-27,47.806,TFMBMU1^2
2021-09-29,86.609,TFMBMV1^2
2021-10-28,77.032,TFMBMX1^2
2021-11-29,93.146,TFMBMZ1^2
2020-12-30,18.742,TFMBQH1^2
2021-03-30,18.692,TFMBQM1^2
2021-06-29,33.256,TFMBQU1^2
2021-09-29,87.03,TFMBQZ1^2
2020-12-30,17.051,TFMBYZ1^2
2021-12-30,87.027,TFMBMF2^2
2022-01-28,92.062,TFMBMG2^2
2022-02-25,94.422,TFMBMH2^2
2022-03-30,118.97,TFMBMJ2^2
2022-04-28,100.142,TFMBMK2^2
2022-05-30,87.987,TFMBMM2^2
2022-06-29,139.588,TFMBMN2^2
2022-07-28,198.93,TFMBMQ2^2
2022-08-30,252.937,TFMBMU2^2
2022-09-29,187.665,TFMBMV2^2
2022-10-28,112.244,TFMBMX2^2
2022-11-29,132.286,TFMBMZ2^2
2021-12-30,86.351,TFMBQH2^2
2022-03-30,119.207,TFMBQM2^2
2022-06-29,140.458,TFMBQU2^2
2022-09-29,199.975,TFMBQZ2^2
